2018-03-07 15:52:13,974 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 15:52:13,977 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 15:52:14,128 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 15:52:14,225 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 15:52:14,225 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 15:52:14,276 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input]
2018-03-07 15:52:14,288 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 15:52:14,291 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.315 seconds
2018-03-07 15:52:19,295 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
2018-03-07 15:52:19,296 | INFO | DefaultShutdownStrategy.java 172 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-03-07 15:52:19,301 | INFO | DefaultShutdownStrategy.java 612 | Route: route1 shutdown complete, was consuming from: Endpoint[file://data/input]
2018-03-07 15:52:19,302 | INFO | DefaultShutdownStrategy.java 225 | Graceful shutdown of 1 routes completed in 0 seconds
2018-03-07 15:52:19,306 | INFO | DefaultCamelContext.java 2030 | Apache Camel 2.14.1 (CamelContext: camel-1) uptime 5.333 seconds
2018-03-07 15:52:19,306 | INFO | DefaultCamelContext.java 2031 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutdown in 0.011 seconds
2018-03-07 15:53:18,506 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 15:53:18,508 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 15:53:18,678 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 15:53:18,783 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 15:53:18,784 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 15:53:18,856 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input]
2018-03-07 15:53:18,857 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 15:53:18,859 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.352 seconds
2018-03-07 15:53:23,860 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
2018-03-07 15:53:23,862 | INFO | DefaultShutdownStrategy.java 172 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-03-07 15:53:23,868 | INFO | DefaultShutdownStrategy.java 612 | Route: route1 shutdown complete, was consuming from: Endpoint[file://data/input]
2018-03-07 15:53:23,868 | INFO | DefaultShutdownStrategy.java 225 | Graceful shutdown of 1 routes completed in 0 seconds
2018-03-07 15:53:23,873 | INFO | DefaultCamelContext.java 2030 | Apache Camel 2.14.1 (CamelContext: camel-1) uptime 5.369 seconds
2018-03-07 15:53:23,873 | INFO | DefaultCamelContext.java 2031 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutdown in 0.013 seconds
2018-03-07 15:54:40,538 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 15:54:40,540 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 15:54:40,707 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
2018-03-07 15:54:40,810 | INFO | DefaultCamelContext.java 1921 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2018-03-07 15:54:40,810 | INFO | DefaultCamelContext.java 1931 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-03-07 15:54:40,883 | INFO | DefaultCamelContext.java 2443 | Route: route1 started and consuming from: Endpoint[file://data/input]
2018-03-07 15:54:40,883 | INFO | DefaultCamelContext.java 1756 | Total 1 routes, of which 1 is started.
2018-03-07 15:54:40,886 | INFO | DefaultCamelContext.java 1757 | Apache Camel 2.14.1 (CamelContext: camel-1) started in 0.347 seconds
2018-03-07 15:54:41,919 | INFO | MarkerIgnoringBase.java 95 | Exchange[ExchangePattern: InOnly, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[employee.txt]]]
2018-03-07 15:54:41,926 | INFO | StaxConverter.java 338 | Created XMLInputFactory: com.sun.xml.internal.stream.XMLInputFactoryImpl@633a3a6c. DOMSource/DOMResult may have issues with com.sun.xml.internal.stream.XMLInputFactoryImpl@633a3a6c. We suggest using Woodstox.
2018-03-07 15:54:45,892 | INFO | DefaultCamelContext.java 1948 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutting down
2018-03-07 15:54:45,893 | INFO | DefaultShutdownStrategy.java 172 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-03-07 15:54:45,899 | INFO | DefaultShutdownStrategy.java 612 | Route: route1 shutdown complete, was consuming from: Endpoint[file://data/input]
2018-03-07 15:54:45,899 | INFO | DefaultShutdownStrategy.java 225 | Graceful shutdown of 1 routes completed in 0 seconds
2018-03-07 15:54:45,904 | INFO | DefaultCamelContext.java 2030 | Apache Camel 2.14.1 (CamelContext: camel-1) uptime 5.368 seconds
2018-03-07 15:54:45,905 | INFO | DefaultCamelContext.java 2031 | Apache Camel 2.14.1 (CamelContext: camel-1) is shutdown in 0.012 seconds
2018-03-07 15:56:10,699 | INFO | DefaultCamelContext.java 1721 | Apache Camel 2.14.1 (CamelContext: camel-1) is starting
2018-03-07 15:56:10,724 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2018-03-07 15:56:15,632 | INFO | DefaultTypeConverter.java 50 | Loaded 182 type converters
